20 20 15 true false
BARSZCZ_SOSNOWSKIEGO 4 18 10 5 true
WILCZE_JAGODY 10 0 99 5 true
MLECZ 6 13 0 5 true
GUARANA 9 5 0 5 true
GUARANA 8 16 0 5 true
TRAWA 0 16 0 5 true
WILCZE_JAGODY 9 12 99 5 true
WILCZE_JAGODY 19 10 99 5 true
GUARANA 17 13 0 5 true
MLECZ 2 12 0 5 true
MLECZ 2 11 0 5 true
WILCZE_JAGODY 4 4 99 5 true
GUARANA 0 13 0 5 true
MLECZ 9 16 0 5 true
WILCZE_JAGODY 19 1 99 5 true
WILCZE_JAGODY 6 3 99 5 true
GUARANA 7 16 0 5 true
MLECZ 17 7 0 5 true
MLECZ 15 13 0 5 true
MLECZ 17 15 0 5 true
MLECZ 13 19 0 5 true
MLECZ 2 10 0 5 true
MLECZ 3 9 0 5 true
GUARANA 10 4 0 6 true
WILCZE_JAGODY 8 12 99 6 true
WILCZE_JAGODY 18 18 99 6 true
MLECZ 15 9 0 6 true
GUARANA 7 4 0 6 true
WILCZE_JAGODY 1 3 99 6 true
WILCZE_JAGODY 14 12 99 6 true
WILCZE_JAGODY 12 2 99 6 true
WILCZE_JAGODY 17 0 99 6 true
TRAWA 5 6 0 6 true
MLECZ 12 7 0 6 true
WILCZE_JAGODY 3 3 99 6 true
WILCZE_JAGODY 13 0 99 6 true
TRAWA 10 10 0 6 true
MLECZ 16 3 0 6 true
WILCZE_JAGODY 17 1 99 6 true
WILCZE_JAGODY 19 18 99 6 true
WILCZE_JAGODY 9 0 99 6 true
GUARANA 9 4 0 6 true
TRAWA 0 17 0 6 true
GUARANA 17 12 0 6 true
MLECZ 9 15 0 6 true
WILCZE_JAGODY 7 3 99 6 true
MLECZ 19 6 0 6 true
MLECZ 17 10 0 6 true
MLECZ 18 15 0 6 true
MLECZ 17 14 0 6 true
TRAWA 2 15 0 7 true
TRAWA 5 19 0 7 true
TRAWA 5 9 0 7 true
WILCZE_JAGODY 10 1 99 7 true
MLECZ 16 4 0 7 true
BARSZCZ_SOSNOWSKIEGO 2 19 10 7 true
GUARANA 7 7 0 7 true
BARSZCZ_SOSNOWSKIEGO 8 10 10 7 true
WILCZE_JAGODY 18 1 99 7 true
WILCZE_JAGODY 18 12 99 7 true
WILCZE_JAGODY 19 4 99 7 true
BARSZCZ_SOSNOWSKIEGO 6 0 10 7 true
WILCZE_JAGODY 18 9 99 7 true
WILCZE_JAGODY 3 1 99 7 true
MLECZ 10 15 0 7 true
WILCZE_JAGODY 0 3 99 7 true
WILCZE_JAGODY 10 14 99 7 true
MLECZ 8 11 0 7 true
MLECZ 4 15 0 7 true
WILCZE_JAGODY 8 15 99 7 true
WILCZE_JAGODY 19 0 99 7 true
MLECZ 1 10 0 7 true
MLECZ 18 17 0 7 true
TRAWA 9 10 0 7 true
MLECZ 17 3 0 7 true
WILCZE_JAGODY 8 0 99 7 true
MLECZ 17 11 0 7 true
GUARANA 7 18 0 8 true
TRAWA 1 6 0 8 true
BARSZCZ_SOSNOWSKIEGO 4 19 10 8 true
TRAWA 6 5 0 8 true
MLECZ 14 7 0 8 true
WILCZE_JAGODY 7 14 99 8 true
MLECZ 3 15 0 8 true
GUARANA 11 6 0 8 true
WILCZE_JAGODY 16 1 99 8 true
MLECZ 13 12 0 8 true
WILCZE_JAGODY 5 4 99 8 true
MLECZ 17 9 0 8 true
WILCZE_JAGODY 9 11 99 8 true
GUARANA 18 13 0 8 true
WILCZE_JAGODY 4 5 99 8 true
GUARANA 7 15 0 8 true
WILCZE_JAGODY 3 4 99 8 true
TRAWA 0 18 0 8 true
MLECZ 19 5 0 8 true
MLECZ 18 16 0 8 true
MLECZ 0 10 0 8 true
WILCZE_JAGODY 1 9 99 9 true
TRAWA 17 17 0 9 true
TRAWA 5 11 0 9 true
TRAWA 8 9 0 9 true
GUARANA 9 17 0 9 true
MLECZ 14 8 0 9 true
TRAWA 0 4 0 9 true
MLECZ 12 18 0 9 true
WILCZE_JAGODY 14 15 99 9 true
MLECZ 6 14 0 9 true
MLECZ 1 11 0 9 true
MLECZ 12 19 0 9 true
WILCZE_JAGODY 19 17 99 9 true
MLECZ 16 5 0 9 true
GUARANA 8 7 0 9 true
MLECZ 6 15 0 9 true
TRAWA 5 5 0 9 true
MLECZ 15 15 0 9 true
WILCZE_JAGODY 3 5 99 9 true
MLECZ 19 16 0 9 true
MLECZ 8 8 0 9 true
TRAWA 0 7 0 10 true
WILCZE_JAGODY 13 1 99 10 true
MLECZ 10 17 0 10 true
MLECZ 12 17 0 10 true
WILCZE_JAGODY 7 0 99 10 true
GUARANA 8 5 0 10 true
WILCZE_JAGODY 19 9 99 10 true
MLECZ 1 12 0 10 true
GUARANA 8 4 0 10 true
MLECZ 11 7 0 10 true
TRAWA 6 19 0 10 true
WILCZE_JAGODY 3 0 99 10 true
TRAWA 2 6 0 10 true
TRAWA 6 16 0 10 true
GUARANA 19 13 0 10 true
TRAWA 1 18 0 10 true
MLECZ 0 11 0 10 true
MLECZ 13 8 0 10 true
MLECZ 11 18 0 10 true
MLECZ 11 19 0 10 true
MLECZ 17 5 0 10 true
MLECZ 15 5 0 10 true
WILCZE_JAGODY 3 6 99 10 true
GUARANA 6 6 0 11 true
MLECZ 5 12 0 11 true
MLECZ 13 2 0 11 true
MLECZ 10 13 0 11 true
GUARANA 6 4 0 11 true
MLECZ 12 8 0 11 true
GUARANA 6 18 0 11 true
TRAWA 0 19 0 11 true
WILCZE_JAGODY 2 5 99 11 true
MLECZ 11 17 0 11 true
WILCZE_JAGODY 4 6 99 11 true
TRAWA 12 15 0 12 true
MLECZ 14 17 0 12 true
WILCZE_JAGODY 8 3 99 12 true
MLECZ 5 14 0 12 true
GUARANA 7 17 0 12 true
MLECZ 13 9 0 12 true
MLECZ 4 12 0 12 true
MLECZ 12 13 0 12 true
MLECZ 1 13 0 12 true
MLECZ 14 3 0 12 true
WILCZE_JAGODY 2 0 99 12 true
MLECZ 16 12 0 12 true
WILCZE_JAGODY 16 2 99 12 true
MLECZ 17 16 0 12 true
MLECZ 18 14 0 12 true
WILCZE_JAGODY 2 4 99 12 true
WILCZE_JAGODY 1 8 99 12 true
WILCZE_JAGODY 19 8 99 12 true
MLECZ 0 12 0 12 true
WILCZE_JAGODY 4 0 99 12 true
GUARANA 2 8 0 12 true
WILCZE_JAGODY 1 5 99 12 true
TRAWA 10 3 0 13 true
MLECZ 1 14 0 13 true
MLECZ 14 4 0 13 true
MLECZ 10 19 0 13 true
MLECZ 16 11 0 13 true
MLECZ 4 11 0 13 true
MLECZ 11 16 0 13 true
MLECZ 13 6 0 13 true
MLECZ 16 6 0 13 true
MLECZ 16 16 0 13 true
MLECZ 19 7 0 13 true
WILCZE_JAGODY 18 8 99 13 true
MLECZ 13 13 0 13 true
WILCZE_JAGODY 14 16 99 13 true
TRAWA 1 7 0 13 true
MLECZ 11 8 0 13 true
TRAWA 2 7 0 13 true
GUARANA 19 14 0 13 true
MLECZ 14 2 0 13 true
GUARANA 6 17 0 13 true
WILCZE_JAGODY 1 0 99 13 true
TRAWA 12 10 0 14 true
TRAWA 1 15 0 14 true
MLECZ 11 13 0 14 true
MLECZ 12 14 0 14 true
MLECZ 13 16 0 14 true
WILCZE_JAGODY 14 13 99 14 true
GUARANA 5 7 0 14 true
MLECZ 17 8 0 14 true
GUARANA 7 8 0 14 true
MLECZ 10 7 0 14 true
MLECZ 15 6 0 14 true
WILCZE_JAGODY 3 7 99 14 true
MLECZ 12 9 0 14 true
WILCZE_JAGODY 9 3 99 14 true
WILCZE_JAGODY 5 0 99 14 true
MLECZ 9 19 0 14 true
MLECZ 18 7 0 14 true
TRAWA 9 2 0 15 true
TRAWA 6 8 0 15 true
MLECZ 1 16 0 15 true
MLECZ 4 8 0 15 true
MLECZ 15 2 0 15 true
MLECZ 3 11 0 15 true
MLECZ 16 9 0 15 true
MLECZ 5 15 0 15 true
TRAWA 1 4 0 15 true
TRAWA 0 8 0 15 true
TRAWA 1 19 0 15 true
MLECZ 14 6 0 15 true
MLECZ 10 8 0 15 true
WILCZE_JAGODY 0 0 99 15 true
MLECZ 11 9 0 15 true
MLECZ 8 19 0 15 true
