20 20 35 true false
GUARANA 15 11 0 8 true
GUARANA 19 17 0 8 true
GUARANA 18 13 0 8 true
MLECZ 9 5 0 8 true
GUARANA 13 19 0 8 true
WILCZE_JAGODY 12 19 99 8 true
MLECZ 12 0 0 9 true
GUARANA 4 3 0 9 true
MLECZ 13 2 0 9 true
MLECZ 10 6 0 9 true
WILCZE_JAGODY 11 9 99 9 true
MLECZ 9 15 0 9 true
MLECZ 7 3 0 9 true
GUARANA 18 16 0 9 true
TRAWA 0 16 0 9 true
MLECZ 7 4 0 9 true
WILCZE_JAGODY 2 5 99 9 true
GUARANA 15 16 0 9 true
WILCZE_JAGODY 10 19 99 9 true
MLECZ 8 6 0 9 true
WILCZE_JAGODY 8 7 99 9 true
MLECZ 9 6 0 9 true
MLECZ 13 6 0 10 true
TRAWA 4 7 0 10 true
MLECZ 8 13 0 10 true
MLECZ 1 0 0 10 true
MLECZ 3 9 0 10 true
MLECZ 16 4 0 10 true
WILCZE_JAGODY 9 8 99 10 true
MLECZ 0 17 0 10 true
GUARANA 18 17 0 10 true
GUARANA 15 19 0 10 true
MLECZ 1 2 0 11 true
WILCZE_JAGODY 13 8 99 11 true
WILCZE_JAGODY 12 17 99 11 true
MLECZ 7 13 0 11 true
MLECZ 10 0 0 11 true
GUARANA 17 10 0 11 true
WILCZE_JAGODY 3 5 99 11 true
MLECZ 15 8 0 11 true
MLECZ 4 9 0 11 true
WILCZE_JAGODY 9 9 99 11 true
WILCZE_JAGODY 14 7 99 12 true
TRAWA 3 8 0 12 true
GUARANA 4 5 0 12 true
TRAWA 1 16 0 12 true
MLECZ 4 2 0 12 true
MLECZ 2 2 0 12 true
TRAWA 1 15 0 12 true
GUARANA 16 10 0 12 true
MLECZ 7 5 0 12 true
MLECZ 16 5 0 12 true
WILCZE_JAGODY 9 19 99 12 true
WILCZE_JAGODY 7 7 99 12 true
MLECZ 15 7 0 12 true
GUARANA 17 17 0 12 true
GUARANA 17 16 0 12 true
MLECZ 19 9 0 12 true
GUARANA 16 6 0 13 true
GUARANA 16 14 0 13 true
MLECZ 8 0 0 13 true
MLECZ 4 1 0 13 true
MLECZ 3 10 0 13 true
WILCZE_JAGODY 9 18 99 13 true
MLECZ 3 14 0 13 true
TRAWA 4 8 0 13 true
MLECZ 0 0 0 13 true
WILCZE_JAGODY 10 9 99 13 true
MLECZ 8 11 0 13 true
MLECZ 5 1 0 14 true
GUARANA 16 13 0 14 true
MLECZ 9 11 0 14 true
MLECZ 2 3 0 14 true
MLECZ 8 0 0 15 true
MLECZ 7 0 0 15 true
TRAWA 2 14 0 15 true
WILCZE_JAGODY 12 9 99 15 true
MLECZ 0 1 0 15 true
MLECZ 12 2 0 15 true
MLECZ 16 7 0 15 true
MLECZ 7 6 0 15 true
GUARANA 5 9 0 15 true
MLECZ 14 8 0 15 true
GUARANA 17 18 0 15 true
TRAWA 5 8 0 15 true
MLECZ 18 3 0 16 true
MLECZ 11 2 0 16 true
MLECZ 6 18 0 16 true
TRAWA 2 15 0 16 true
MLECZ 9 0 0 16 true
MLECZ 10 0 0 16 true
MLECZ 16 8 0 16 true
WILCZE_JAGODY 8 8 99 16 true
TRAWA 4 6 0 16 true
MLECZ 4 10 0 16 true
WILCZE_JAGODY 9 10 99 16 true
TRAWA 2 13 0 16 true
WILCZE_JAGODY 13 9 99 16 true
MLECZ 7 18 0 17 true
MLECZ 11 0 0 17 true
WILCZE_JAGODY 12 18 99 17 true
GUARANA 15 13 0 17 true
GUARANA 15 10 0 17 true
GUARANA 19 18 0 17 true
MLECZ 12 0 0 17 true
MLECZ 5 10 0 17 true
WILCZE_JAGODY 13 10 99 17 true
MLECZ 13 0 0 18 true
MLECZ 14 2 0 18 true
MLECZ 1 17 0 18 true
GUARANA 18 18 0 18 true
TRAWA 18 12 0 18 true
WILCZE_JAGODY 8 9 99 18 true
WILCZE_JAGODY 13 11 99 18 true
TRAWA 3 15 0 19 true
MLECZ 1 18 0 19 true
WILCZE_JAGODY 0 5 99 19 true
GUARANA 6 6 0 19 true
TRAWA 13 13 0 19 true
GUARANA 14 13 0 19 true
GUARANA 5 5 0 19 true
WILCZE_JAGODY 8 19 99 19 true
MLECZ 2 11 0 20 true
MLECZ 4 15 0 20 true
GUARANA 19 13 0 20 true
MLECZ 17 5 0 20 true
WILCZE_JAGODY 12 10 99 20 true
MLECZ 0 4 0 20 true
GUARANA 17 19 0 20 true
TRAWA 5 6 0 20 true
WILCZE_JAGODY 10 10 99 20 true
MLECZ 7 10 0 20 true
TRAWA 4 16 0 21 true
GUARANA 7 19 0 21 true
WILCZE_JAGODY 11 10 99 21 true
TRAWA 5 7 0 21 true
WILCZE_JAGODY 7 8 99 21 true
MLECZ 15 9 0 21 true
WILCZE_JAGODY 12 11 99 21 true
GUARANA 18 19 0 21 true
MLECZ 7 9 0 21 true
GUARANA 17 0 0 22 true
WILCZE_JAGODY 0 18 99 22 true
MLECZ 8 12 0 22 true
MLECZ 0 2 0 22 true
MLECZ 19 8 0 22 true
MLECZ 8 10 0 22 true
GUARANA 19 19 0 22 true
GUARANA 6 7 0 22 true
WILCZE_JAGODY 11 11 99 22 true
MLECZ 14 9 0 22 true
MLECZ 17 4 0 23 true
MLECZ 18 0 0 23 true
WILCZE_JAGODY 11 12 99 23 true
MLECZ 9 12 0 23 true
GUARANA 13 12 0 23 true
WILCZE_JAGODY 14 10 99 23 true
GUARANA 16 19 0 23 true
MLECZ 6 1 0 24 true
MLECZ 18 4 0 24 true
GUARANA 4 18 0 24 true
MLECZ 18 1 0 24 true
GUARANA 17 15 0 24 true
GUARANA 14 11 0 24 true
GUARANA 16 15 0 24 true
MLECZ 10 11 0 24 true
MLECZ 10 2 0 24 true
MLECZ 2 12 0 25 true
GUARANA 17 1 0 25 true
MLECZ 18 8 0 25 true
MLECZ 5 18 0 25 true
MLECZ 18 5 0 25 true
WILCZE_JAGODY 12 12 99 25 true
MLECZ 11 3 0 26 true
GUARANA 18 14 0 26 true
WILCZE_JAGODY 10 12 99 26 true
TRAWA 19 12 0 26 true
GUARANA 19 14 0 27 true
MLECZ 19 5 0 27 true
MLECZ 6 12 0 27 true
MLECZ 18 7 0 27 true
GUARANA 16 18 0 27 true
GUARANA 6 9 0 27 true
TRAWA 6 8 0 27 true
GUARANA 15 1 0 27 true
WILCZE_JAGODY 12 13 99 27 true
WILCZE_JAGODY 5 2 99 28 true
WILCZE_JAGODY 12 14 99 28 true
MLECZ 5 12 0 28 true
MLECZ 14 0 0 28 true
MLECZ 14 1 0 28 true
MLECZ 3 12 0 28 true
TRAWA 12 15 0 29 true
TRAWA 5 17 0 29 true
MLECZ 13 1 0 29 true
GUARANA 16 16 0 29 true
TRAWA 19 11 0 29 true
MLECZ 19 10 0 29 true
MLECZ 5 11 0 29 true
MLECZ 6 10 0 29 true
MLECZ 6 2 0 29 true
WILCZE_JAGODY 1 4 99 30 true
GUARANA 18 10 0 30 true
GUARANA 16 17 0 30 true
MLECZ 18 6 0 30 true
MLECZ 6 11 0 30 true
GUARANA 15 0 0 30 true
MLECZ 10 4 0 31 true
GUARANA 18 11 0 31 true
MLECZ 18 9 0 31 true
MLECZ 3 11 0 31 true
MLECZ 7 2 0 32 true
GUARANA 17 12 0 32 true
GUARANA 15 17 0 32 true
MLECZ 4 11 0 32 true
MLECZ 10 3 0 32 true
MLECZ 9 1 0 33 true
MLECZ 17 9 0 33 true
MLECZ 1 3 0 33 true
GUARANA 16 12 0 33 true
MLECZ 2 4 0 33 true
TRAWA 4 17 0 33 true
GUARANA 16 0 0 33 true
MLECZ 8 2 0 34 true
MLECZ 10 1 0 34 true
GUARANA 17 13 0 34 true
GUARANA 14 18 0 35 true
GUARANA 15 18 0 35 true
MLECZ 7 11 0 35 true
MLECZ 11 1 0 35 true
MLECZ 3 4 0 35 true
TRAWA 3 17 0 35 true
